userId,group,orderId,revenue,date
18152626239381964282,B,4612877704153482,489,22/4/2019
18152626239381964282,B,4612877704153482,489,22/4/2019
17940781432832565801,B,4136278401914522193,97,22/4/2019
17940781432832565801,B,4136278401914522193,279,22/4/2019
2461476672848239127,B,14065540284646979879,4092,22/4/2019
14198526712276965868,A,5370142860466391065,139,22/4/2019
14198526712276965868,A,5370142860466391065,370,22/4/2019
14198526712276965868,A,5370142860466391065,1732,22/4/2019
14198526712276965868,A,5370142860466391065,174,22/4/2019
14198526712276965868,A,5370142860466391065,399,22/4/2019
14198526712276965868,A,5370142860466391065,431,22/4/2019
14198526712276965868,A,5370142860466391065,587,22/4/2019
11390458479132625991,B,2171862024719418784,1644,22/4/2019
12441467635680153074,B,4180234061148282778,89,22/4/2019
489893378048046947,B,16048345631947816673,3008,22/4/2019
489893378048046947,B,16048345631947816673,644,22/4/2019
489893378048046947,B,16048345631947816673,206,22/4/2019
4628257326051437168,A,1569755850825095296,1350,22/4/2019
4628257326051437168,A,1569755850825095296,1091,22/4/2019
4628257326051437168,A,1569755850825095296,1208,22/4/2019
14610661666036064279,B,1343010300819421170,1819,21/4/2019
14610661666036064279,B,1343010300819421170,1819,21/4/2019
9949307846364579543,B,16740244054252462272,930,21/4/2019
9949307846364579543,B,16740244054252462272,930,21/4/2019
9949307846364579543,B,16740244054252462272,135,21/4/2019
9949307846364579543,B,16740244054252462272,808,21/4/2019
9949307846364579543,B,16740244054252462272,135,21/4/2019
9949307846364579543,B,16740244054252462272,808,21/4/2019
10343266225909626814,B,8369249527887743582,1308,21/4/2019
12017426154330565960,A,14581406082053182944,1999,21/4/2019
8710812156411139355,A,12564232683448894267,296,21/4/2019
3610148734948390876,B,1481231863025896157,69,21/4/2019
3610148734948390876,B,1481231863025896157,39,21/4/2019
3610148734948390876,B,1481231863025896157,39,21/4/2019
3610148734948390876,B,1481231863025896157,69,21/4/2019
1495353513740461379,B,15211406335667505754,669,21/4/2019
18041658422835675732,A,2175748801388851340,251,21/4/2019
582138057704981383,B,1397134141506652204,817,21/4/2019
582138057704981383,B,1397134141506652204,817,21/4/2019
3959589128785299601,B,8274191084987021011,28080,21/4/2019
3959589128785299601,B,8274191084987021011,28080,21/4/2019
7304786818990036087,A,5722925806758698935,2432,21/4/2019
7304786818990036087,A,5722925806758698935,399,21/4/2019
7304786818990036087,A,5722925806758698935,649,21/4/2019
7304786818990036087,A,5722925806758698935,649,21/4/2019
7304786818990036087,A,5722925806758698935,2432,21/4/2019
7304786818990036087,A,5722925806758698935,399,21/4/2019
17475670863030761962,B,15905570916244771679,1584,21/4/2019
17475670863030761962,B,15905570916244771679,69,21/4/2019
17475670863030761962,B,15905570916244771679,99,21/4/2019
17475670863030761962,B,15905570916244771679,69,21/4/2019
17475670863030761962,B,15905570916244771679,261,21/4/2019
17475670863030761962,B,15905570916244771679,299,21/4/2019
15037538847387805195,B,5110784526045627623,3919,21/4/2019
2326223770686456190,A,12208247024736429002,699,21/4/2019
8187752781101359012,A,4434622012880240058,999,21/4/2019
15920461071159584373,A,4070254796298334201,5876,21/4/2019
15920461071159584373,A,4070254796298334201,528,21/4/2019
18209435831090053248,A,2957663918577573917,2516,21/4/2019
18209435831090053248,A,2957663918577573917,2516,21/4/2019
18209435831090053248,A,2957663918577573917,1084,21/4/2019
18209435831090053248,A,2957663918577573917,1084,21/4/2019
5708175386075700575,B,17666266865549619440,781,21/4/2019
1017088742775035078,A,16704541918628894933,2499,21/4/2019
1017088742775035078,A,16704541918628894933,2499,21/4/2019
17163777999029845374,A,3532258551281341312,49,21/4/2019
17163777999029845374,A,3532258551281341312,2729,21/4/2019
9445200576272192704,B,9627715813525155512,538,21/4/2019
9445200576272192704,B,9627715813525155512,538,21/4/2019
3716798940241863801,A,6744912021973921817,1999,21/4/2019
18150907127868642700,A,7423464229836468840,624,21/4/2019
9430314141766838902,B,9670062991219628850,2499,21/4/2019
10790855169541852804,B,14992349078344645366,1889,21/4/2019
18056390614065738725,B,11299456993811387804,469,21/4/2019
18056390614065738725,B,11299456993811387804,749,21/4/2019
9580841689724884751,B,10263362534159471723,839,21/4/2019
11678953501533876051,B,3817038956689118802,4900,21/4/2019
11678953501533876051,B,3817038956689118802,407,21/4/2019
5683080523358658174,B,16962089456965873237,2519,21/4/2019
5683080523358658174,B,16962089456965873237,340,21/4/2019
5683080523358658174,B,16962089456965873237,119,21/4/2019
5683080523358658174,B,16962089456965873237,2029,21/4/2019
5683080523358658174,B,16962089456965873237,291,21/4/2019
7332471510051971802,A,18144350276899228697,1516,21/4/2019
7332471510051971802,A,18144350276899228697,239,21/4/2019
7332471510051971802,A,18144350276899228697,316,21/4/2019
17249392407487204942,A,14028716400435310313,2012,21/4/2019
16140759153683895076,A,6640971401295549522,2676,21/4/2019
16140759153683895076,A,6640971401295549522,1996,21/4/2019
16140759153683895076,A,6640971401295549522,2676,21/4/2019
